Ref,Val,Package,PosX,PosY,Rot,Side
"R60","49R9","R_0603_1608Metric",24.882000,30.696000,0.000000,top
"R61","49R9","R_0603_1608Metric",24.882000,28.664000,0.000000,top
"R62","49R9","R_0603_1608Metric",24.882000,34.252000,0.000000,top
"R63","49R9","R_0603_1608Metric",24.882000,32.220000,0.000000,top
"R67","12K4","R_0603_1608Metric",31.994000,33.490000,90.000000,top
"R75","1M","R_0603_1608Metric",31.867000,47.587000,90.000000,top
"R77","10K","R_0603_1608Metric",38.471000,58.534500,270.000000,top
"R78","49R9","R_0603_1608Metric",24.882000,51.651000,0.000000,top
"R79","49R9","R_0603_1608Metric",24.882000,49.619000,0.000000,top
"R80","49R9","R_0603_1608Metric",24.882000,55.207000,0.000000,top
"R81","49R9","R_0603_1608Metric",24.882000,53.175000,0.000000,top
"R85","12K4","R_0603_1608Metric",31.994000,54.445000,90.000000,top
"R99","0R","R_0603_1608Metric",70.348000,67.272000,90.000000,top
"R102","0R","R_0603_1608Metric",68.824000,67.272000,90.000000,top
"R104","90K9","R_0603_1608Metric",67.808000,80.480000,0.000000,top
"R105","10K","R_0603_1608Metric",67.808000,78.956000,0.000000,top
"R106","10K","R_0603_1608Metric",70.348000,72.352000,90.000000,top
"R107","1M","R_0603_1608Metric",63.744000,79.972000,0.000000,top
"R108","10K","R_0603_1608Metric",54.600000,75.400000,0.000000,top
"R109","10K","R_0603_1608Metric",62.728000,66.256000,0.000000,top
"R110","10K","R_0603_1608Metric",66.792000,66.256000,270.000000,top
"R111","10K","R_0603_1608Metric",65.268000,66.256000,90.000000,top
"R112","10K","R_0603_1608Metric",53.076000,60.668000,0.000000,top
"R113","10K","R_0603_1608Metric",60.188000,63.716000,90.000000,top
"R114","10K","R_0603_1608Metric",54.600000,72.352000,0.000000,top
"R115","330","R_0603_1608Metric",39.868000,86.830000,180.000000,top
"R116","0R","R_0603_1608Metric",70.348000,41.872000,90.000000,top
"R119","0R","R_0603_1608Metric",68.824000,41.872000,90.000000,top
"R121","90K9","R_0603_1608Metric",67.808000,55.080000,0.000000,top
"R122","10K","R_0603_1608Metric",67.808000,53.556000,0.000000,top
"R123","10K","R_0603_1608Metric",70.348000,46.952000,90.000000,top
"R124","1M","R_0603_1608Metric",63.744000,54.572000,0.000000,top
"R125","10K","R_0603_1608Metric",54.600000,50.000000,0.000000,top
"R126","10K","R_0603_1608Metric",62.728000,40.856000,0.000000,top
"R127","10K","R_0603_1608Metric",66.792000,40.856000,270.000000,top
"R128","10K","R_0603_1608Metric",65.268000,40.856000,90.000000,top
"R129","10K","R_0603_1608Metric",53.076000,35.268000,0.000000,top
"R130","10K","R_0603_1608Metric",60.188000,38.316000,90.000000,top
"R131","10K","R_0603_1608Metric",54.600000,46.952000,0.000000,top
"R132","330","R_0603_1608Metric",124.704000,86.830000,0.000000,top
"R141","10K","R_0603_1608Metric",98.796000,9.233000,90.000000,top
"R145","20K","R_0603_1608Metric",121.910000,27.521000,270.000000,top
"R146","2K2","R_0603_1608Metric",116.957000,27.521000,270.000000,top
"R147","12K","R_0603_1608Metric",127.625000,17.488000,180.000000,top
"R148","2K7","R_0603_1608Metric",120.259000,27.521000,270.000000,top
"R149","3K","R_0603_1608Metric",127.625000,19.139000,0.000000,top
"R150","0R","R_0805_2012Metric",120.386000,37.681000,0.000000,top
"R152","68K","R_0603_1608Metric",122.037000,42.634000,270.000000,top
"R153","2K2","R_0603_1608Metric",117.211000,42.634000,270.000000,top
"R154","62K","R_0603_1608Metric",120.386000,35.903000,180.000000,top
"R155","15K","R_0603_1608Metric",120.386000,42.634000,270.000000,top
"R156","27K","R_0603_1608Metric",120.386000,34.379000,0.000000,top
"R157","4K7","R_0603_1608Metric",114.290000,73.749000,270.000000,top
"R158","0R","R_0805_2012Metric",107.432000,69.812000,270.000000,top
"R159","22K","R_0603_1608Metric",110.480000,67.145000,180.000000,top
"R160","2K","R_0603_1608Metric",110.480000,65.621000,0.000000,top
"R161","4K7","R_0603_1608Metric",107.432000,75.527000,90.000000,top
"R162","0R","R_0805_2012Metric",120.386000,52.921000,0.000000,top
"R164","23K2","R_0603_1608Metric",122.037000,57.747000,270.000000,top
"R165","2K2","R_0603_1608Metric",117.084000,57.747000,270.000000,top
"R166","16K","R_0603_1608Metric",120.386000,51.143000,180.000000,top
"R167","11K5","R_0603_1608Metric",120.386000,57.747000,270.000000,top
"R168","20K","R_0603_1608Metric",120.386000,49.619000,0.000000,top
"R169","0R","R_0805_2012Metric",120.386000,68.288000,0.000000,top
"R171","33K","R_0603_1608Metric",122.037000,73.114000,270.000000,top
"R172","2K2","R_0603_1608Metric",117.084000,73.114000,270.000000,top
"R173","1K","R_0603_1608Metric",120.386000,66.510000,180.000000,top
"R174","39K","R_0603_1608Metric",120.386000,73.114000,270.000000,top
"R175","10K","R_0603_1608Metric",120.386000,64.986000,0.000000,top
"R176","0R","R_0805_2012Metric",108.067000,38.570000,90.000000,top
"R177","3K","R_0603_1608Metric",109.210000,35.903000,0.000000,top
"R178","100K","R_0603_1608Metric",113.655000,44.158000,270.000000,top
"R179","2K","R_0603_1608Metric",112.258000,35.903000,0.000000,top
"SW1","SW_Boot_Select","SW_Push_1P1T_NO_6x6mm_H9.5mm",43.170000,16.980000,90.000000,top
"SW2","SW_RESET","SW_Push_1P1T_NO_6x6mm_H9.5mm",35.550000,16.980000,90.000000,top
"Y1","25MHz","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",25.390000,67.907000,180.000000,top
"Y2","25MHz","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",25.390000,25.997000,180.000000,top
"Y3","25MHz","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",25.390000,46.952000,180.000000,top
"Y4","40MHz","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",63.744000,85.560000,180.000000,top
"Y5","40MHz","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",63.744000,60.160000,180.000000,top
